Date,Price
2024-04-22 16:00:00,66021.8
2024-04-21 16:00:00,65057.2
2024-04-20 16:00:00,64816.5
2024-04-19 16:00:00,64488.7
2024-04-18 16:00:00,63545.6
2024-04-17 16:00:00,60449.2
2024-04-16 16:00:00,61931.3
2024-04-15 16:00:00,64513.7
2024-04-14 16:00:00,64189.6
2024-04-13 16:00:00,67755.3
2024-04-12 16:00:00,69387.6
2024-04-11 16:00:00,70013.4
2024-04-10 16:00:00,68657.1
2024-04-09 16:00:00,69148.4
2024-04-08 16:00:00,71767.7
2024-04-07 16:00:00,69688.9
2024-04-06 16:00:00,68134.2
2024-04-05 16:00:00,68095.9
2024-04-04 16:00:00,67669.3
2024-04-03 16:00:00,65876.2
2024-04-02 16:00:00,64718
2024-04-01 16:00:00,68318.7
2024-03-31 16:00:00,70404.3
2024-03-30 16:00:00,70052.6
2024-03-29 16:00:00,69174.7
2024-03-28 16:00:00,71296.3
2024-03-27 16:00:00,68979.1
2024-03-26 16:00:00,70261.1
2024-03-25 16:00:00,69703.1
2024-03-24 16:00:00,65666.5
2024-03-23 16:00:00,65096.7
2024-03-22 16:00:00,63843.9
2024-03-21 16:00:00,66486
2024-03-20 16:00:00,63539.8
2024-03-19 16:00:00,63919.8
2024-03-18 16:00:00,67432.7
2024-03-17 16:00:00,67993.3
2024-03-16 16:00:00,68377.9
2024-03-15 16:00:00,68175.1
2024-03-14 16:00:00,70952
2024-03-13 16:00:00,72737
2024-03-12 16:00:00,71670.4
2024-03-11 16:00:00,72096.2
2024-03-10 16:00:00,69306.7
2024-03-09 16:00:00,68397.5
2024-03-08 16:00:00,67960.4
2024-03-07 16:00:00,67465.9
2024-03-06 16:00:00,66386.1
2024-03-05 16:00:00,66920.5
2024-03-04 16:00:00,66476.8
2024-03-03 16:00:00,62207.5
2024-03-02 16:00:00,61823.3
2024-03-01 16:00:00,61217.9
2024-02-29 16:00:00,62823.1
2024-02-28 16:00:00,60978.9
2024-02-27 16:00:00,56776.6
2024-02-26 16:00:00,52766.7
2024-02-25 16:00:00,51507.4
2024-02-24 16:00:00,51121
2024-02-23 16:00:00,50907.2
2024-02-22 16:00:00,51581
2024-02-21 16:00:00,51124.3
2024-02-20 16:00:00,51680.3
2024-02-19 16:00:00,52115.3
2024-02-18 16:00:00,51796.5
2024-02-17 16:00:00,51020.2
2024-02-16 16:00:00,51812.5
2024-02-15 16:00:00,51900.4
2024-02-14 16:00:00,51603.3
2024-02-13 16:00:00,48775.3
2024-02-12 16:00:00,49931.6
2024-02-11 16:00:00,47135.6
2024-02-10 16:00:00,47135.6
2024-02-09 16:00:00,47135.6
2024-02-08 16:00:00,43041.6
2024-02-07 16:00:00,43041.6
2024-02-06 16:00:00,42601.1
2024-02-05 16:00:00,42601.1
2024-02-04 16:00:00,43091.2
2024-02-03 16:00:00,43091.2
2024-02-02 16:00:00,43170.8
2024-02-01 16:00:00,42584.9
2024-01-31 16:00:00,43349.3
2024-01-30 16:00:00,43365.2
2024-01-29 16:00:00,42492.8
2024-01-28 16:00:00,42272.2
2024-01-27 16:00:00,41812.7
2024-01-26 16:00:00,41378.3
2024-01-25 16:00:00,39839.6
2024-01-24 16:00:00,40029.6
2024-01-23 16:00:00,39158.7
2024-01-22 16:00:00,40674.8
2024-01-21 16:00:00,41670.2
2024-01-20 16:00:00,41558.4
2024-01-19 16:00:00,40891.9
2024-01-18 16:00:00,42605.9
2024-01-17 16:00:00,42509.9
2024-01-16 16:00:00,43205.7
2024-01-15 16:00:00,42249.2
2024-01-14 16:00:00,42911.8
2024-01-13 16:00:00,43181.7
2024-01-12 16:00:00,44366.8
2024-01-11 16:00:00,46668
2024-01-10 16:00:00,45455.6
2024-01-09 16:00:00,46919.8
2024-01-08 16:00:00,44995.6
2024-01-07 16:00:00,44088.4
2024-01-06 16:00:00,43899.3
2024-01-05 16:00:00,43462.7
2024-01-04 16:00:00,44118
2024-01-03 16:00:00,42869.1
2024-01-02 16:00:00,45207.9
2024-01-01 16:00:00,42802.4
2023-12-31 16:00:00,42458.7
2023-12-30 16:00:00,42402.5
2023-12-29 16:00:00,42329
2023-12-28 16:00:00,42477.4
2023-12-27 16:00:00,43022
2023-12-26 16:00:00,42413.1
2023-12-25 16:00:00,43645.3
2023-12-24 16:00:00,43746.2
2023-12-23 16:00:00,43794.4
2023-12-22 16:00:00,43698.1
2023-12-21 16:00:00,43786.4
2023-12-20 16:00:00,44027.6
2023-12-19 16:00:00,42469.2
2023-12-18 16:00:00,41274.9
2023-12-17 16:00:00,41794.4
2023-12-16 16:00:00,42549.9
2023-12-15 16:00:00,41861.2
2023-12-14 16:00:00,42470.7
2023-12-13 16:00:00,41920.9
2023-12-12 16:00:00,41336.4
2023-12-11 16:00:00,41808.4
2023-12-10 16:00:00,43932.2
2023-12-09 16:00:00,44099
2023-12-08 16:00:00,43826.7
2023-12-07 16:00:00,43663.9
2023-12-06 16:00:00,43840.8
2023-12-05 16:00:00,42322.1
2023-12-04 16:00:00,41265.6
2023-12-03 16:00:00,39780.1
2023-12-02 16:00:00,38825.9
2023-12-01 16:00:00,38428.8
2023-11-30 16:00:00,37576.9
2023-11-29 16:00:00,37843.5
2023-11-28 16:00:00,37530.9
2023-11-27 16:00:00,36805.4
2023-11-26 16:00:00,37463.1
2023-11-25 16:00:00,37717.4
2023-11-24 16:00:00,38230.8
2023-11-23 16:00:00,36931.1
2023-11-22 16:00:00,36467.4
2023-11-21 16:00:00,36986.3
2023-11-20 16:00:00,37484.1
2023-11-19 16:00:00,36570.5
2023-11-18 16:00:00,36686.9
2023-11-17 16:00:00,36023.2
2023-11-16 16:00:00,36440.6
2023-11-15 16:00:00,36385
2023-11-14 16:00:00,36141.2
2023-11-13 16:00:00,36819.2
2023-11-12 16:00:00,37180.1
2023-11-11 16:00:00,37102.8
2023-11-10 16:00:00,37094.4
2023-11-09 16:00:00,37130.2
2023-11-08 16:00:00,35236.1
2023-11-07 16:00:00,34725.9
2023-11-06 16:00:00,35104.1
2023-11-05 16:00:00,34909.5
2023-11-04 16:00:00,34723.8
2023-11-03 16:00:00,34796.8
2023-11-02 16:00:00,34683.3
2023-11-01 16:00:00,34295.8
2023-10-31 16:00:00,34283.9
2023-10-31 16:00:00,34283.9
2023-10-30 16:00:00,34667.4
2023-10-29 16:00:00,34458.9
2023-10-28 16:00:00,34194.4
2023-10-27 16:00:00,33981.4
2023-10-26 16:00:00,34035.8
2023-10-25 16:00:00,34902.8
2023-10-24 16:00:00,33699.6
2023-10-23 16:00:00,30912.7
2023-10-22 16:00:00,29840.5
2023-10-21 16:00:00,29943.6
2023-10-20 16:00:00,29554.6
2023-10-19 16:00:00,28694
2023-10-18 16:00:00,28264.9
2023-10-17 16:00:00,28483.5
2023-10-16 16:00:00,28063.6
2023-10-15 16:00:00,26905.3
2023-10-14 16:00:00,26942
2023-10-13 16:00:00,26706
2023-10-12 16:00:00,26671.3
2023-10-11 16:00:00,26796.7
2023-10-10 16:00:00,27407.5
2023-10-09 16:00:00,27462.2
2023-10-08 16:00:00,27913.1
2023-10-07 16:00:00,27956.2
2023-10-06 16:00:00,27931.7
2023-10-05 16:00:00,27562.1
2023-10-04 16:00:00,27397.1
2023-10-03 16:00:00,27342.6
2023-10-02 16:00:00,28010.8
2023-10-01 16:00:00,27152.5
2023-09-30 16:00:00,27000.1
2023-09-29 16:00:00,26889.2
2023-09-28 16:00:00,26972.6
2023-09-27 16:00:00,26285.7
2023-09-26 16:00:00,26136.1
2023-09-25 16:00:00,26243.9
2023-09-24 16:00:00,26581.7
2023-09-23 16:00:00,26584
2023-09-22 16:00:00,26647.4
2023-09-21 16:00:00,26616.8
2023-09-20 16:00:00,27188.9
2023-09-19 16:00:00,27444.2
2023-09-18 16:00:00,27279.9
2023-09-17 16:00:00,26561
2023-09-16 16:00:00,26528.9
2023-09-15 16:00:00,26320.9
2023-09-14 16:00:00,26698.5
2023-09-13 16:00:00,26257.7
2023-09-12 16:00:00,26207.1
2023-09-11 16:00:00,25112.2
2023-09-10 16:00:00,25775.7
2023-09-09 16:00:00,25890.4
2023-09-08 16:00:00,25839.8
2023-09-07 16:00:00,25776.7
2023-09-06 16:00:00,25605.7
2023-09-05 16:00:00,25746.5
2023-09-04 16:00:00,25806.5
2023-09-03 16:00:00,25874.3
2023-09-02 16:00:00,25907.3
2023-09-01 16:00:00,25807.5
2023-08-31 16:00:00,26918.2
2023-08-30 16:00:00,27213.7
2023-08-29 16:00:00,27389.9
2023-08-28 16:00:00,26079.7
2023-08-27 16:00:00,26120.5
2023-08-26 16:00:00,26049.7
2023-08-25 16:00:00,25910.4
2023-08-24 16:00:00,25995.6
2023-08-23 16:00:00,26134.2
2023-08-22 16:00:00,25938.1
2023-08-21 16:00:00,25966.5
2023-08-20 16:00:00,26087.8
2023-08-19 16:00:00,26192.9
2023-08-18 16:00:00,25974.3
2023-08-17 16:00:00,27939.2
2023-08-16 16:00:00,29081.6
2023-08-15 16:00:00,29297.3
2023-08-14 16:00:00,29579.8
2023-08-13 16:00:00,29359.7
2023-08-12 16:00:00,29433.4
2023-08-11 16:00:00,29358.3
2023-08-10 16:00:00,29448.9
2023-08-09 16:00:00,29748.1
2023-08-08 16:00:00,29527.3
2023-08-07 16:00:00,28820.7
2023-08-06 16:00:00,28984.7
2023-08-05 16:00:00,29011.2
2023-08-04 16:00:00,29258.3
2023-08-03 16:00:00,29238.5
2023-08-02 16:00:00,29317.8
2023-08-01 16:00:00,28940.1
2023-07-31 16:00:00,29256.7
2023-07-30 16:00:00,29355.6
2023-07-29 16:00:00,29304
2023-07-28 16:00:00,29386.2
2023-07-27 16:00:00,29305.7
2023-07-26 16:00:00,29328
2023-07-25 16:00:00,29197
2023-07-24 16:00:00,29083.9
2023-07-23 16:00:00,29909.2
2023-07-22 16:00:00,29910
2023-07-21 16:00:00,29871.8
2023-07-20 16:00:00,29816.1
2023-07-19 16:00:00,29947.9
2023-07-18 16:00:00,29917.7
2023-07-17 16:00:00,30176
2023-07-16 16:00:00,30379
2023-07-15 16:00:00,30300.4
2023-07-14 16:00:00,31231.9
2023-07-13 16:00:00,30955.9
2023-07-12 16:00:00,30509.1
2023-07-11 16:00:00,30600
2023-07-10 16:00:00,30323.8
2023-07-09 16:00:00,30348.2
2023-07-08 16:00:00,30210.1
2023-07-07 16:00:00,30412.9
2023-07-06 16:00:00,30425.8
2023-07-05 16:00:00,30357.6
2023-07-04 16:00:00,30949.4
2023-07-03 16:00:00,31055
2023-07-02 16:00:00,30492.8
2023-07-01 16:00:00,30572.2
2023-06-30 16:00:00,30063.4
2023-06-29 16:00:00,30477
2023-06-28 16:00:00,30412.2
2023-06-27 16:00:00,30516.3
2023-06-26 16:00:00,30410.9
2023-06-25 16:00:00,30587.6
2023-06-24 16:00:00,30408.7
2023-06-23 16:00:00,31204
2023-06-22 16:00:00,29850.3
2023-06-21 16:00:00,29885.1
2023-06-20 16:00:00,27073.9
2023-06-19 16:00:00,26445.4
2023-06-18 16:00:00,26559.9
2023-06-17 16:00:00,26423.2
2023-06-16 16:00:00,25794.3
2023-06-15 16:00:00,24960.3
2023-06-14 16:00:00,25976.7
2023-06-13 16:00:00,25733.2
2023-06-12 16:00:00,25830.3
